date,size
2011-03-27,10646200928
2011-03-28,10707045468
2011-03-29,21394690378
2011-03-30,20976176471
2011-03-31,20678636646
2011-04-01,21370589354
2011-04-02,21019681380
2011-04-03,10723614191
2011-04-04,31421567497
2011-04-05,21208014619
2011-04-06,21402000795
2011-04-07,21399758330
2011-04-08,10720461780
2011-04-09,21336117490
2011-04-10,21304745465
2011-04-11,31667722035
2011-04-12,21340753470
2011-04-13,21330112297
2011-04-14,21438836499
2011-04-15,21347296405
2011-04-17,21385941912
2011-04-18,21420556114
2011-04-19,85408760036
2011-04-20,180784285191
2011-04-21,85272631820
2011-04-22,32085017296
2011-04-23,21340653126
2011-04-24,10718309372
2011-04-25,31821789859
2011-04-26,31886500874
2011-04-27,21403965988
2011-04-28,31998549656
2011-04-29,32064303588
2011-04-30,32126290328
2011-05-01,32045000894
2011-05-02,42294711041
2011-05-03,31987937208
2011-05-04,42786030273
2011-05-05,53438352049
2011-05-06,21448042271
2011-05-07,42766273979
2011-05-08,42706837837
2011-05-09,32037336909
2011-05-10,32129824832
2011-05-11,31920206523
2011-05-12,21317519833
2011-05-13,42758188496
2011-05-14,42848476755
2011-05-15,21468766102
2011-05-16,31403795557
2011-05-17,10674683320
