date,size
2011-03-27,10646200928
2011-03-28,10707045468
2011-03-29,21394690378
2011-03-30,20976176471
2011-03-31,20678636646
2011-04-01,21370589354
2011-04-02,21019681380
2011-04-03,10723614191
2011-04-04,31421567497
2011-04-05,21208014619
2011-04-06,21402000795
2011-04-07,21399758330
2011-04-08,10720461780
2011-04-09,21336117490
2011-04-10,21304745465
2011-04-11,31667722035
2011-04-12,21340753470
2011-04-13,21330112297
2011-04-14,21438836499
2011-04-15,21347296405
2011-04-17,21385941912
2011-04-18,21420556114
2011-04-19,85408760036
2011-04-20,180784285191
2011-04-21,85272631820
2011-04-22,32085017296
2011-04-23,21340653126
2011-04-24,10718309372
2011-04-25,31821789859
2011-04-26,31886500874
2011-04-27,21403965988
2011-04-28,31998549656
2011-04-29,32064303588
2011-04-30,32126290328
2011-05-01,32045000894
2011-05-02,42294711041
2011-05-03,31987937208
2011-05-04,42786030273
2011-05-05,53438352049
2011-05-06,21448042271
2011-05-07,42766273979
2011-05-08,42706837837
2011-05-09,32037336909
2011-05-10,32129824832
2011-05-11,31920206523
2011-05-12,21317519833
2011-05-13,42758188496
2011-05-14,42848476755
2011-05-15,21468766102
2011-05-16,31403795557
2011-05-17,21387964160
2011-05-18,21391618903
2011-05-19,32139113733
2011-05-20,32099453516
2011-05-21,31887365117
2011-05-22,42304580959
2011-05-23,32096904177
2011-05-24,31500317463
2011-05-25,42752390842
2011-05-26,31468595678
2011-05-27,42813860137
2011-05-28,32114628308
2011-05-29,42128566808
2011-05-30,42915028370
2011-05-31,42669437867
2011-06-01,42425518031
2011-06-02,42364917036
2011-06-03,42534299615
2011-06-04,31930794806
2011-06-05,31995631374
2011-06-06,42571913333
2011-06-07,73205778623
2011-06-08,42297526296
2011-06-09,42780963460
2011-06-10,31738633938
2011-06-11,42778041622
2011-06-12,53340016709
2011-06-13,52701269243
2011-06-14,42742429810
2011-06-15,42320293167
2011-06-16,53534932363
2011-06-17,63232692506
2011-06-18,42682653593
2011-06-19,42573447466
2011-06-20,42637180376
2011-06-21,32124232526
2011-06-22,21386661520
2011-06-23,63833584828
2011-06-24,42795783474
2011-06-25,42695799341
2011-06-26,31997906311
2011-06-27,42741018912
2011-06-28,32018129088
2011-06-29,63545494099
2011-06-30,42679689308
2011-07-01,42786039143
2011-07-02,31640241827
2011-07-03,42751276520
2011-07-04,42517981376
2011-07-05,31885812544
2011-07-06,21239806642
2011-07-07,52476693431
2011-07-08,74403133235
2011-07-09,32177371411
2011-07-10,31011249966
2011-07-11,52991471648
2011-07-12,63871227723
2011-07-13,53135297076
2011-07-14,42634183262
2011-07-15,31523573222
2011-07-16,41762031929
2011-07-17,21358534358
2011-07-18,42307192450
2011-07-19,52708984969
2011-07-20,52879801625
2011-07-21,42648708094
2011-07-22,52738026068
2011-07-23,32054630969
2011-07-24,42282077180
2011-07-25,42754557252
2011-07-26,53007622763
2011-07-27,52621575829
2011-07-28,42344785417
2011-07-29,51833188503
2011-07-30,42761113284
2011-07-31,42621002176
2011-08-01,42133034890
2011-08-02,31973149650
2011-08-03,42626707220
2011-08-04,31727175018
2011-08-05,52074624186
2011-08-06,41561724464
2011-08-07,31699378001
2011-08-08,32126966304
2011-08-09,32039367781
2011-08-10,52352745824
2011-08-11,42546107461
2011-08-12,62068587767
2011-08-13,30777323309
2011-08-14,31940076970
2011-08-15,42689391150
2011-08-16,53277111201
2011-08-17,40908183704
2011-08-18,52116158084
2011-08-19,31947525198
2011-08-20,30761235354
2011-08-21,42785296785
2011-08-22,32005017068
2011-08-23,32019550096
2011-08-24,53415887540
2011-08-25,42725772415
2011-08-26,32076644833
2011-08-27,42655446311
2011-08-28,42064949805
2011-08-29,42747294750
2011-08-30,42453992679
2011-08-31,73900125969
2011-09-01,53199690321
2011-09-02,53167271642
2011-09-03,63538163810
2011-09-04,52647508587
2011-09-05,73786493886
2011-09-06,62553449831
2011-09-07,73145659953
2011-09-08,42239644287
2011-09-09,42670475449
2011-09-10,134787385130
2011-09-11,52669265891
2011-09-12,73838020168
2011-09-13,52488124616
2011-09-14,52807242938
2011-09-15,52250246463
2011-09-16,74428019436
2011-09-17,82000190772
2011-09-18,61651961782
2011-09-19,73793440893
2011-09-20,52898202485
2011-09-21,53343445601
2011-09-22,42287967632
2011-09-23,53474153013
2011-09-24,52712566883
2011-09-25,72906711245
2011-09-26,62638612871
2011-09-27,74015543262
2011-09-28,53144731971
2011-09-29,53070141864
2011-09-30,61583289643
2011-10-01,52156421327
2011-10-02,63498177938
2011-10-03,41793399322
2011-10-04,53496156781
2011-10-05,74257264727
2011-10-06,53382793237
2011-10-07,52655412886
2011-10-08,52333594065
2011-10-09,31895598065
2011-10-10,42680173713
2011-10-11,63720997531
2011-10-12,62519667739
2011-10-13,52576868079
2011-10-14,31525572591
2011-10-15,62727937071
2011-10-16,63904585978
2011-10-17,93149319107
2011-10-18,63985292410
2011-10-19,83989616638
2011-10-20,63209904676
2011-10-21,51836918821
2011-10-22,42583015353
2011-10-23,63103911222
2011-10-24,73876932766
2011-10-25,74179969340
2011-10-26,95351035452
2011-10-27,63713386933
2011-10-28,62233304469
2011-10-29,94874761056
2011-10-30,125734119264
2011-10-31,62546799602
2011-11-01,125357836366
2011-11-02,63411324224
2011-11-03,94184544192
2011-11-04,64039446978
2011-11-05,62984684426
2011-11-06,62891729245
2011-11-07,74512953925
2011-11-08,74380822440
2011-11-09,73425763601
2011-11-10,63010901218
2011-11-11,63944067319
2011-11-12,73567892209
2011-11-13,63486835407
2011-11-14,64049274728
2011-11-15,53354376677
2011-11-16,53523454587
2011-11-17,82614756603
2011-11-18,53010718360
2011-11-19,62764676638
2011-11-20,74435619607
2011-11-21,63765049772
2011-11-22,74029160774
2011-11-23,73295367039
2011-11-24,63631483024
2011-11-25,63653393530
2011-11-26,52182085084
2011-11-27,73563946211
2011-11-28,42755441322
2011-11-29,52827603234
2011-11-30,74258736077
2011-12-01,73512855891
2011-12-02,63922417794
2011-12-03,51168506848
2011-12-04,52538170399
2011-12-05,52910312854
2011-12-06,53485688096
2011-12-07,72915782176
2011-12-08,84408975923
2011-12-09,63103642707
2011-12-10,73758394654
2011-12-11,93411872903
2011-12-12,74783783787
2011-12-13,73903378334
2011-12-14,51449508345
2011-12-15,63814155072
2011-12-16,73985734815
2011-12-17,72649948882
2011-12-18,53129384381
2011-12-19,73526461268
2011-12-20,74442064320
2011-12-21,63977018384
2011-12-22,85245285344
2011-12-23,42294245950
2011-12-24,62928724902
2011-12-25,63427334154
2011-12-26,84740345196
2011-12-27,159219195460
2011-12-28,74723755355
2011-12-29,84397203750
2011-12-30,83697620752
2011-12-31,52049976388
2012-01-01,240842531887
2012-01-02,325557005607
2012-01-03,208138095493
2012-01-04,73477081622
2012-01-05,63984867218
2012-01-06,74246655560
2012-01-07,84316584882
2012-01-08,62700093998
2012-01-09,41474686695
2012-01-10,51809298809
2012-01-11,52656831434
2012-01-12,52085477202
2012-01-13,53172420909
2012-01-14,62636919565
2012-01-15,62867738825
2012-01-16,74010906334
2012-01-17,63213300670
2012-01-18,73555489454
2012-01-19,84945302520
2012-01-20,73849345692
2012-01-21,52404884612
2012-01-22,52334656469
2012-01-23,83955633039
2012-01-24,94814409175
2012-01-25,73795501455
2012-01-26,176540886763
2012-01-27,73039279656
2012-01-28,95352402753
2012-01-29,84406757036
2012-01-30,85111915980
2012-01-31,63502888479
2012-02-01,84407992539
2012-02-02,95688124678
2012-02-03,74658813319
2012-02-04,114957956057
2012-02-05,95294121883
2012-02-06,74197345950
2012-02-07,73894799563
2012-02-08,85313374820
2012-02-09,74439290164
2012-02-10,74216801805
2012-02-11,105729384533
2012-02-12,95113375140
2012-02-13,105260816165
2012-02-14,135358422730
2012-02-15,115027530076
2012-02-16,74080355859
2012-02-17,74247232760
2012-02-18,73478443262
2012-02-19,115078443832
2012-02-20,85195279673
2012-02-21,84346228826
2012-02-22,94568575787
2012-02-23,83713908933
2012-02-24,42380031607
2012-02-25,62997193396
2012-02-26,73163007303
2012-02-27,63372827026
2012-02-28,83944472328
2012-02-29,61559709511
2012-03-01,82756193889
2012-03-02,104184127042
2012-03-03,74128614956
2012-03-04,115933275015
2012-03-05,83807483486
2012-03-06,84623547643
2012-03-07,51986533701
2012-03-08,84103264308
2012-03-09,95320208611
2012-03-10,73866905590
2012-03-11,115259050449
2012-03-12,84147444454
2012-03-13,94571870468
2012-03-14,51697940961
2012-03-15,73302114352
2012-03-16,95291167210
2012-03-17,93550375093
2012-03-18,112722416441
2012-03-19,94278392144
2012-03-20,84038557847
2012-03-21,63301676291
2012-03-22,63193370548
2012-03-23,73856204385
2012-03-24,42374143632
2012-03-25,101344464704
2012-03-26,84762149779
2012-03-27,51619432066
2012-03-28,52595389536
2012-03-29,53109708866
2012-03-30,42780631929
2012-03-31,83315111145
2012-04-01,73399763590
2012-04-02,73149780101
2012-04-03,84121435830
2012-04-04,95183091506
2012-04-05,95071264947
2012-04-06,126784218494
2012-04-07,42211807039
2012-04-08,95474281300
2012-04-09,73921211245
2012-04-10,83815651621
2012-04-11,73626636451
2012-04-12,84448660463
2012-04-13,106121433337
2012-04-14,63747528062
2012-04-15,84604359481
2012-04-16,74796963622
2012-04-17,94623694125
2012-04-18,63652311200
2012-04-19,63981339670
2012-04-20,63611483667
2012-04-21,73834207596
2012-04-22,73345164685
2012-04-23,84028197858
2012-04-24,105152839196
2012-04-25,73435022259
2012-04-26,73469674958
2012-04-27,52974175635
2012-04-28,84384645345
2012-04-29,63548354851
2012-04-30,73815518535
2012-05-01,103633134610
2012-05-02,72665949143
2012-05-03,73768339483
2012-05-04,64028256937
2012-05-05,63629622941
2012-05-06,116501897526
2012-05-07,84677962982
2012-05-08,63278653692
2012-05-09,42522831351
2012-05-10,74073607283
2012-05-11,94971021873
2012-05-12,63472964365
2012-05-13,73730919952
2012-05-14,74720943203
2012-05-15,73968563322
2012-05-16,63132242669
2012-05-17,74346688159
2012-05-18,43042886193
2012-05-19,21506668519
2012-05-20,32363280098
2012-05-21,32286127805
2012-05-22,21507859775
2012-05-23,32201607967
2012-05-24,32358311249
2012-05-25,43204659458
2012-05-26,21675712166
2012-05-27,21609109196
2012-05-28,21651830528
2012-05-29,31373709179
2012-05-30,21531406047
2012-05-31,43137102256
2012-06-01,32283374777
2012-06-02,32269845351
2012-06-03,32339269850
2012-06-04,21496443160
2012-06-05,32310247948
2012-06-06,44192217109
2012-06-07,30923299752
2012-06-08,64878749369
2012-06-09,64870846447
2012-06-10,64902672430
2012-06-11,75858323698
2012-06-12,64933425159
2012-06-13,65007038608
2012-06-14,75759795679
2012-06-15,43244447885
2012-06-16,21642463522
2012-06-17,43131611355
2012-06-18,21565806547
2012-06-19,43140802609
2012-06-20,43283082024
2012-06-21,64767729253
2012-06-22,32446390098
2012-06-23,43068940253
2012-06-24,32458449962
2012-06-25,32431392299
2012-06-26,42998951591
2012-06-27,32287155124
2012-06-28,32308052405
2012-06-29,32427004133
2012-06-30,21621805953
2012-07-01,38197257637
2012-07-02,43331252257
2012-07-03,32311932402
2012-07-04,32327809516
2012-07-05,32288014229
2012-07-06,43031835751
2012-07-07,21502233878
2012-07-08,32325550171
2012-07-09,32407212441
2012-07-10,32325219294
2012-07-11,32445463809
2012-07-12,32453769327
2012-07-13,32466694396
2012-07-14,21574308474
2012-07-15,32304767023
2012-07-16,32317891554
2012-07-17,32309020569
2012-07-18,32261944243
2012-07-19,32284004210
2012-07-20,32439218738
2012-07-21,21616491441
2012-07-22,21500900082
2012-07-23,32243422017
2012-07-24,32343433398
2012-07-25,32403004619
2012-07-26,32328129679
2012-07-27,32325486225
2012-07-28,32288074661
2012-07-29,32292534892
2012-07-30,32432378622
2012-07-31,43148228891
2012-08-01,43306501582
2012-08-02,43219962307
2012-08-03,32316581896
2012-08-04,21616824041
2012-08-05,32481268793
2012-08-06,43279700682
2012-08-07,43155122548
2012-08-08,32381034349
2012-08-09,32302894846
2012-08-10,32343140097
2012-08-11,32321152723
2012-08-12,32306087284
2012-08-13,43124764181
2012-08-14,32392993414
2012-08-15,32277473366
2012-08-16,32362740197
2012-08-17,43171591012
2012-08-18,32371608752
2012-08-19,32306664874
2012-08-20,32271336142
2012-08-21,43236877405
2012-08-22,43096359542
2012-08-23,32400256811
2012-08-24,43177822854
2012-08-25,32241354038
2012-08-26,21574850239
2012-08-27,38160343268
2012-08-28,43065321301
2012-08-29,32269903665
2012-08-30,43008264833
2012-08-31,32355708096
2012-09-01,32322860523
2012-09-02,32623884842
2012-09-03,32383995713
2012-09-04,43038950248
