,2018,2013
.,8.0,
AdsBot-Google,1.0,
AhrefsBot,18.0,
Amazon Silk,38.0,
Amber/1.0 (+http://newberg http://amberlink.org/fetcher),2.0,
Amber/1.0 (+http://web1.globalvoices.org http://amberlink.org/fetcher),4.0,
Amber/1.0 (+http://www.netzpolitik.org http://amberlink.org/fetcher),2.0,
Android,44.0,
Apple Mail,1.0,
BingPreview,561.0,
BlackBerry WebKit,31.0,
BomboraBot,1.0,
Chrome,6570.0,
Chrome 41.0.2227.0,8.0,
Chrome 41.0.2227.1,12.0,
Chrome 41.0.2228.0,7.0,
Chrome Mobile,1547.0,
Chrome Mobile WebView,293.0,
Chrome Mobile iOS,114.0,
Chromium,41.0,
Dragon,3.0,
Edge,306.0,
Edge Mobile,11.0,
FUCKING CLOUDFLARE!,217.0,
Facebook,121.0,
Firefox,2572.0,
Firefox 33.0,6.0,
Firefox 36.0,4.0,
Firefox 40.1,6.0,
Firefox Mobile,78.0,
Firefox iOS,24.0,
Googlebot,15.0,
Hatena Antenna/0.5 (http://a.hatena.ne.jp/help),10.0,
HeadlessChrome,22.0,
IE,482.0,
IE Mobile,50.0,
Iceweasel,6.0,
InternetArchive,3.0,
Iron,13.0,
Kindle,20.0,
Mail.ru Chromium Browser,4.0,
Manzama Fetcher/2.0,1.0,
Mechanize/2.7.6 Ruby/2.4.2p198 (http://github.com/sparklemotion/mechanize/),1.0,
Mediapartners-Google,3.0,
Mobile Safari,1174.0,
Mobile Safari UI/WKWebView,73.0,
Mozilla/4.0 (compatible;HostTracker/2.0;+http://www.host-tracker.com/),15.0,
Mozilla/5.0,4.0,
Mozilla/5.0 (Windows NT 5.1; rv:52.0) Gecko/20100101 AOLShield/52.4.2,1.0,
Mozilla/5.0 (compatible; TrendsmapResolver/0.1),1.0,
Netscape,25.0,
Opera,233.0,
Opera Mini,34.0,
Opera Mobile,44.0,
Opera/hokan,3.0,
Otter,10.0,
PHP/5.4,5.0,
Pale Moon,31.0,
Patterbot,42.0,
PhantomJS,12.0,
Pinterest,31.0,
PocketParser/2.0 (+https://getpocket.com/pocketparser_ua),1.0,
Puffin,4.0,
Python Requests,78.0,
Python-urllib,30.0,
QQ Browser,2.0,
Ruby,4.0,
SFDC-Callout/44.0,8.0,
Safari,447.0,
Safari 5.1.7,6.0,
Safari 6.0,14.0,
Safari 7.0.3,2.0,
Samsung Internet,247.0,
SeaMonkey,10.0,
StatusCakeBot,1.0,
StatusCake_Pagespeed_Indev,3.0,
TweetSave/0.1 (+http://tweetsave.com/),1.0,
UC Browser,165.0,
UptimeRobot,2.0,
Vivaldi,29.0,
Watchbot,4.0,
Wget,4635.0,
WordPress,27.0,
Yandex Browser,74.0,
YandexMobileBot,1.0,
archive.org_bot,986.0,1238598.0
archiver,3.0,
cXensebot,3.0,
curl,167.0,
diffengine/0.1.3 (+https://github.com/docnow/diffengine),11.0,
http://Anonymouse.org/ (Unix),4.0,
mediawords bot,208.0,
mozilla,6.0,
net/bot,1.0,
sentry/8.18.0 (https://sentry.io),2.0,
waybackmachinedownloader,97.0,
